Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Cultural Affairs,Parking ,,"Parking, Beach, Beach House, Annenberg Beach House, Beach Parking, parking reservation ",Annenberg Community Beach House Parking ,12,,per day,,,,,"Parking ranges from $8-12, depending on season.
This fee is not subject to the annual administrative revision and increase per resolution.","Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Parking ,,"Parking, Beach, Beach House, Annenberg Beach House, Beach Parking, parking reservation ",Annenberg Community Beach House Parking ,3,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House, Pool Day Pass - Adult",10,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House, Pool Day Pass - Child (under 18 years of age)",4,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House, Pool Day Pass - Senior (age 60 or older)",5,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Beach Volleyball and Tennis Court Reservations - Walk-up (first come, first served)",,Free,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a target=""_blank""></a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Beach Volleyball and Tennis Court Reservations - Schools/Non-Profit Organizations/Community",10,,per hour ,,,,Non-Profit Organizations,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Beach Volleyball and Tennis Court Reservations - Commercial Seasonal Use",15,,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Beach Volleyball and Tennis Court Reservations - Occasional Use",30,,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Planning and Community Development,Mobility and Traffic Management,Fees,,TDM plan review and support,Administrative Costs-each hour/fraction thereof: Transportation Management Coordinator,210.25,,per hour,,,,,,,
